# Berço    Linear [m]    H [mm]    u_H [mm]    V [mm]    u_V [mm]    L [mm]    u_L [mm]    Roll [mrad]    u_roll [mrad]    fH [mm]    dH [mm]    fV [mm]    dV [mm]
S02-B03     388.676      -0.563      0.022     0.402      0.030     -0.297      0.025       -0.075             0.052       -0.733      0.170     -0.443      0.001
S02-B02     390.500      -0.530      0.022     0.426      0.030     -0.379      0.023       -0.076             0.052       -0.698      0.168     -0.475      0.009
S02-B01     397.885      -0.490      0.022     0.590      0.030      0.025      0.023       -0.100             0.052       -0.588      0.098     -0.590     -0.040
S01-B11     399.709      -0.543      0.022     0.662      0.030     -0.069      0.025        0.006             0.052       -0.569      0.026     -0.613     -0.089
S01-B10     401.571      -0.545      0.022     0.664      0.030     -0.164      0.023        0.043             0.052       -0.553      0.008     -0.633     -0.071
S01-B09     403.364      -0.547      0.030     0.690      0.025     -0.026      0.025        0.165             0.052       -0.542     -0.005     -0.650     -0.080
S01-B08     405.117      -0.562      0.022     0.662      0.030      0.055      0.023       -0.067             0.052       -0.533     -0.029     -0.663     -0.039
S01-B07     407.148      -0.695      0.022     0.676      0.030     -0.046      0.023       -0.306             0.052       -0.528     -0.167     -0.674     -0.042
S01-B06     409.179      -0.504      0.022     0.560      0.030      0.091      0.023       -0.160             0.052       -0.526      0.022     -0.679      0.079
S01-B05     410.933      -0.506      0.030     0.568      0.025     -0.042      0.025       -0.054             0.052       -0.528      0.022     -0.680      0.072
S01-B04     412.725      -0.527      0.022     0.599      0.030     -0.079      0.023        0.002             0.052       -0.532      0.005     -0.676      0.037
S01-B03     414.587      -0.475      0.022     0.636      0.030     -0.132      0.025        0.085             0.052       -0.539      0.064     -0.667     -0.009
S01-B02     416.205      -0.499      0.022     0.633      0.030     -0.202      0.023        0.174             0.052       -0.547      0.048     -0.656     -0.017
S01-B01     424.004      -0.773      0.022     0.556      0.030      0.204      0.023        0.036             0.052       -0.605     -0.168     -0.549     -0.047
S20-B11     425.622      -0.790      0.022     0.382      0.030     -0.675      0.025       -0.020             0.052       -0.620     -0.170     -0.516      0.094
